Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time in seconds,Explanation
What should a project manager do first when receiving a new project request?,Multiple Choice,Start coding immediately,Define scope and stakeholders,Buy software tools,Assign random tasks,2,30,Scope and stakeholders define what success means.
Which statement best describes a WBS?,Multiple Choice,A list of employee responsibilities,A deliverable-oriented decomposition of project work,A budget approval form,A meeting agenda,2,30,A WBS breaks the project into deliverables.
The first project plan takes 15 weeks but the deadline is 12 weeks. What should the PMO do?,Multiple Choice,Remove all testing,Hide the delay,Re-plan using parallel work and scope prioritization,Add more features,3,45,Schedule compression must be realistic and controlled.
If planned progress is 50 percent and actual progress is 38 percent, what does this suggest?,Multiple Choice,The project is ahead,The project is late,The project is complete,The budget is automatically healthy,2,30,Actual progress below planned progress shows schedule pressure.
If actual cost is higher than planned cost, what should the PM investigate?,Multiple Choice,Cost overrun causes,The color of the dashboard,Only the project logo,How to avoid reporting the issue,1,30,The PM must understand why the project is spending more than planned.
What does SPI below 1 usually indicate?,Multiple Choice,The project is ahead of schedule,The project is behind schedule,The project has no cost problem,The project is closed,2,30,SPI below 1 means schedule performance is weak.
What does CPI below 1 usually indicate?,Multiple Choice,Cost performance is inefficient,The project is under budget,The schedule is complete,The scope has no risk,1,30,CPI below 1 means the project is getting less value per unit of cost.
During a crisis, which action is most responsible?,Multiple Choice,Freeze scope and focus on critical deliverables,Add non-essential features,Stop communicating with the sponsor,Ignore bugs,1,45,The PM must protect critical deliverables and communicate clearly.
Which activity is an example of project control?,Multiple Choice,Reading the project title,Comparing actual performance to plan and taking corrective action,Choosing the slide font,Naming the project team,2,30,Control means using data to decide corrective action.
What should a PMO recovery briefing include?,Multiple Choice,Problem impact corrective action and sponsor decision,Only excuses,Only screenshots,Only team complaints,1,45,A professional briefing explains the issue impact action and decision needed.
Which feature should be prioritized during the week 8 crisis?,Multiple Choice,Advanced animations,Login schedule and notifications,Extra decorative themes,Optional social feed,2,30,Critical core features should be protected first.
Why is stopping testing a poor recovery action?,Multiple Choice,It improves quality,It hides quality risk until later,It reduces all project risk,It guarantees sponsor approval,2,30,Skipping testing can create larger failures near launch.
What is the purpose of a risk register?,Multiple Choice,To list possible risks impact probability and mitigation,To replace the schedule,To decorate the report,To hide problems,1,30,A risk register helps the PM plan responses before risks become crises.
Which stakeholder is likely responsible for database integration?,Multiple Choice,IT department,Cafeteria,Student club,External visitor,1,30,The IT department usually controls or supports university systems and databases.
What is the best evidence that the project is technically unstable?,Multiple Choice,Twelve critical bugs,The title is long,The team name changed,The slide design is simple,1,30,Critical bugs indicate quality and technical instability.
